# X in mm; Y in mm; U in mm; V in mm; Log. Strain YY
-3.000000000000000000e+01; 0.000000000000000000e+00; 2.067038360952562215e+00; 2.999999999999998224e+00; 1.036962459408847514e-01
-2.916700000000000159e+01; 0.000000000000000000e+00; 1.883530556527008848e+00; 2.999999999999999556e+00; 1.046981390449367721e-01
-2.833299999999999841e+01; 0.000000000000000000e+00; 1.711304121629623864e+00; 2.999999999999999556e+00; 1.025909141663205737e-01
-2.750000000000000000e+01; 0.000000000000000000e+00; 1.555753461614316047e+00; 3.000000000000000000e+00; 9.943641825172017112e-02
-2.666700000000000159e+01; 0.000000000000000000e+00; 1.417168736618622749e+00; 2.999999999999999112e+00; 9.613150138527210009e-02
-2.583299999999999841e+01; 0.000000000000000000e+00; 1.294194442081047836e+00; 2.999999999999999556e+00; 9.299804104704216534e-02
-2.500000000000000000e+01; 0.000000000000000000e+00; 1.185389536372394081e+00; 3.000000000000000000e+00; 9.016889349477567872e-02
-2.416700000000000159e+01; 0.000000000000000000e+00; 1.088748174050850004e+00; 3.000000000000000000e+00; 8.768477450753572877e-02
-2.333299999999999841e+01; 0.000000000000000000e+00; 1.002404083735557672e+00; 3.000000000000000444e+00; 8.554445277261146785e-02
-2.250000000000000000e+01; 0.000000000000000000e+00; 9.249799617935738905e-01; 3.000000000000000000e+00; 8.372927131078544694e-02
-2.166700000000000159e+01; 0.000000000000000000e+00; 8.550069674277159804e-01; 3.000000000000000888e+00; 8.220174989904860396e-02
-2.083299999999999841e+01; 0.000000000000000000e+00; 7.912747490444765885e-01; 3.000000000000001776e+00; 8.092183012741945014e-02
-2.000000000000000000e+01; 0.000000000000000000e+00; 7.330001750905495994e-01; 3.000000000000002220e+00; 7.985420057337119792e-02
-1.916700000000000159e+01; 0.000000000000000000e+00; 6.793397355166791440e-01; 3.000000000000001332e+00; 7.896285878740320896e-02
-1.833299999999999841e+01; 0.000000000000000000e+00; 6.296126768065321011e-01; 3.000000000000000444e+00; 7.821713943462998975e-02
-1.750000000000000000e+01; 0.000000000000000000e+00; 5.834277610015179416e-01; 3.000000000000001332e+00; 7.759327150137909634e-02
-1.666700000000000159e+01; 0.000000000000000000e+00; 5.403027503917197105e-01; 3.000000000000001776e+00; 7.706907277248067900e-02
-1.583300000000000018e+01; 0.000000000000000000e+00; 4.998406957027887731e-01; 3.000000000000001776e+00; 7.662669908175048783e-02
-1.500000000000000000e+01; 0.000000000000000000e+00; 4.618439387853486844e-01; 3.000000000000002665e+00; 7.625280569190434621e-02
-1.416699999999999982e+01; 0.000000000000000000e+00; 4.260116524823817641e-01; 3.000000000000002665e+00; 7.593507849764788431e-02
-1.333300000000000018e+01; 0.000000000000000000e+00; 3.920876594961804629e-01; 3.000000000000003109e+00; 7.566378124821142304e-02
-1.250000000000000000e+01; 0.000000000000000000e+00; 3.599635515590484114e-01; 3.000000000000003553e+00; 7.543177934852503264e-02
-1.166699999999999982e+01; 0.000000000000000000e+00; 3.294293182139488296e-01; 3.000000000000003109e+00; 7.523243517158789695e-02
-1.083300000000000018e+01; 0.000000000000000000e+00; 3.002994162031978886e-01; 3.000000000000003553e+00; 7.506052248245316527e-02
-1.000000000000000000e+01; 0.000000000000000000e+00; 2.725056694555898495e-01; 3.000000000000003997e+00; 7.491227339138288588e-02
-9.166999999999999815e+00; 0.000000000000000000e+00; 2.458851376240704933e-01; 3.000000000000002665e+00; 7.478418211449683328e-02
-8.333000000000000185e+00; 0.000000000000000000e+00; 2.202890044444705819e-01; 3.000000000000002665e+00; 7.467343682639732139e-02
-7.500000000000000000e+00; 0.000000000000000000e+00; 1.956668159880154412e-01; 3.000000000000002665e+00; 7.457811836298856856e-02
-6.666999999999999815e+00; 0.000000000000000000e+00; 1.718810142206581570e-01; 3.000000000000002665e+00; 7.449639265524524157e-02
