# X in mm; Y in mm; U in mm; V in mm; Log. Strain YY
-3.000000000000000000e+01; 0.000000000000000000e+00; 2.350682326019339019e+00; 3.500000000000003997e+00; 1.202534038851212350e-01
-2.916700000000000159e+01; 0.000000000000000000e+00; 2.140165470522255031e+00; 3.500000000000003553e+00; 1.209546995558662408e-01
-2.833299999999999841e+01; 0.000000000000000000e+00; 1.943099517000787646e+00; 3.500000000000003109e+00; 1.182040124629116784e-01
-2.750000000000000000e+01; 0.000000000000000000e+00; 1.765143604000356081e+00; 3.500000000000003553e+00; 1.144418388079457005e-01
-2.666700000000000159e+01; 0.000000000000000000e+00; 1.606413639286827788e+00; 3.500000000000003109e+00; 1.106279238446875590e-01
-2.583299999999999841e+01; 0.000000000000000000e+00; 1.465331027725566448e+00; 3.500000000000002665e+00; 1.070722854480331415e-01
-2.500000000000000000e+01; 0.000000000000000000e+00; 1.340291451601564710e+00; 3.500000000000001776e+00; 1.038924954201084772e-01
-2.416700000000000159e+01; 0.000000000000000000e+00; 1.229062545836273834e+00; 3.500000000000001776e+00; 1.011147476927392597e-01
-2.333299999999999841e+01; 0.000000000000000000e+00; 1.129572343003517165e+00; 3.500000000000001776e+00; 9.872665584119617865e-02
-2.250000000000000000e+01; 0.000000000000000000e+00; 1.040302874693634916e+00; 3.500000000000001332e+00; 9.670173784073396450e-02
-2.166700000000000159e+01; 0.000000000000000000e+00; 9.596174472056506755e-01; 3.500000000000000888e+00; 9.499568957307634454e-02
-2.083299999999999841e+01; 0.000000000000000000e+00; 8.861636905665792874e-01; 3.500000000000000444e+00; 9.356310252843762221e-02
-2.000000000000000000e+01; 0.000000000000000000e+00; 8.190693558803427976e-01; 3.500000000000000000e+00; 9.236474219866167013e-02
-1.916700000000000159e+01; 0.000000000000000000e+00; 7.573824334437876393e-01; 3.499999999999999556e+00; 9.136092738794701629e-02
-1.833299999999999841e+01; 0.000000000000000000e+00; 7.003310041363050020e-01; 3.499999999999998224e+00; 9.051800268238285874e-02
-1.750000000000000000e+01; 0.000000000000000000e+00; 6.474698183916540728e-01; 3.499999999999998668e+00; 8.981000064076954947e-02
-1.666700000000000159e+01; 0.000000000000000000e+00; 5.982451716736505443e-01; 3.499999999999998224e+00; 8.921261286894406617e-02
-1.583300000000000018e+01; 0.000000000000000000e+00; 5.521989601828837246e-01; 3.499999999999998224e+00; 8.870628469331205690e-02
-1.500000000000000000e+01; 0.000000000000000000e+00; 5.090983211180176715e-01; 3.499999999999997335e+00; 8.827643927457742845e-02
-1.416699999999999982e+01; 0.000000000000000000e+00; 4.685919900236432123e-01; 3.499999999999996891e+00; 8.790954018247343349e-02
-1.333300000000000018e+01; 0.000000000000000000e+00; 4.303796172968151756e-01; 3.499999999999996447e+00; 8.759487958532602425e-02
-1.250000000000000000e+01; 0.000000000000000000e+00; 3.943273094813524171e-01; 3.499999999999997335e+00; 8.732464301726999834e-02
-1.166699999999999982e+01; 0.000000000000000000e+00; 3.601869152781613792e-01; 3.499999999999996447e+00; 8.709149753116385284e-02
-1.083300000000000018e+01; 0.000000000000000000e+00; 3.277387747142093133e-01; 3.499999999999996447e+00; 8.688966449278433257e-02
-1.000000000000000000e+01; 0.000000000000000000e+00; 2.968944921743049137e-01; 3.499999999999996447e+00; 8.671499870946727806e-02
-9.166999999999999815e+00; 0.000000000000000000e+00; 2.674606739547516487e-01; 3.499999999999996447e+00; 8.656360171989697927e-02
-8.333000000000000185e+00; 0.000000000000000000e+00; 2.392607634409581463e-01; 3.499999999999996447e+00; 8.643233846486741978e-02
-7.500000000000000000e+00; 0.000000000000000000e+00; 2.122272010878344106e-01; 3.499999999999996003e+00; 8.631908407792381055e-02
-6.666999999999999815e+00; 0.000000000000000000e+00; 1.861970609360845130e-01; 3.499999999999997335e+00; 8.622177814184342481e-02
-5.833000000000000185e+00; 0.000000000000000000e+00; 1.610176603405112372e-01; 3.499999999999996003e+00; 8.613875950175416130e-02
-5.000000000000000000e+00; 0.000000000000000000e+00; 1.366308846760231066e-01; 3.499999999999996447e+00; 8.606896632693070148e-02
-4.166999999999999815e+00; 0.000000000000000000e+00; 1.128912467731278679e-01; 3.499999999999995559e+00; 8.601134571200198808e-02
-3.333000000000000185e+00; 0.000000000000000000e+00; 8.965923016730673045e-02; 3.499999999999995115e+00; 8.596508313117558198e-02
-2.500000000000000000e+00; 0.000000000000000000e+00; 6.688087385357451009e-02; 3.499999999999996003e+00; 8.592969253066234936e-02
-1.667000000000000037e+00; 0.000000000000000000e+00; 4.442021098624770320e-02; 3.499999999999994671e+00; 8.590469826895004435e-02
-8.329999999999999627e-01; 0.000000000000000000e+00; 2.214404841630199586e-02; 3.499999999999993783e+00; 8.588980377252225518e-02
0.000000000000000000e+00; 0.000000000000000000e+00; 1.701369734438751028e-15; 3.499999999999992450e+00; 8.588486457614638581e-02
8.329999999999999627e-01; 0.000000000000000000e+00; -2.214404841629928622e-02; 3.499999999999992895e+00; 8.588980377252307397e-02
1.667000000000000037e+00; 0.000000000000000000e+00; -4.442021098624567704e-02; 3.499999999999992450e+00; 8.590469826894969740e-02
2.500000000000000000e+00; 0.000000000000000000e+00; -6.688087385357188719e-02; 3.499999999999992006e+00; 8.592969253066191915e-02
3.333000000000000185e+00; 0.000000000000000000e+00; -8.965923016730413531e-02; 3.499999999999991562e+00; 8.596508313117515176e-02
4.166999999999999815e+00; 0.000000000000000000e+00; -1.128912467731242875e-01; 3.499999999999990674e+00; 8.601134571200137746e-02
5.000000000000000000e+00; 0.000000000000000000e+00; -1.366308846760185824e-01; 3.499999999999990230e+00; 8.606896632693053495e-02
5.833000000000000185e+00; 0.000000000000000000e+00; -1.610176603405064355e-01; 3.499999999999990230e+00; 8.613875950175448049e-02
6.666999999999999815e+00; 0.000000000000000000e+00; -1.861970609360795725e-01; 3.499999999999989342e+00; 8.622177814184270317e-02
7.500000000000000000e+00; 0.000000000000000000e+00; -2.122272010878304416e-01; 3.499999999999989786e+00; 8.631908407792424076e-02
8.333000000000000185e+00; 0.000000000000000000e+00; -2.392607634409546769e-01; 3.499999999999989342e+00; 8.643233846486703120e-02
9.166999999999999815e+00; 0.000000000000000000e+00; -2.674606739547490952e-01; 3.499999999999989786e+00; 8.656360171989806174e-02
1.000000000000000000e+01; 0.000000000000000000e+00; -2.968944921743031373e-01; 3.499999999999989786e+00; 8.671499870946751398e-02
1.083300000000000018e+01; 0.000000000000000000e+00; -3.277387747142087582e-01; 3.499999999999989786e+00; 8.688966449278501258e-02
1.166699999999999982e+01; 0.000000000000000000e+00; -3.601869152781617678e-01; 3.499999999999989342e+00; 8.709149753116454673e-02
1.250000000000000000e+01; 0.000000000000000000e+00; -3.943273094813539714e-01; 3.499999999999989342e+00; 8.732464301727128897e-02
1.333300000000000018e+01; 0.000000000000000000e+00; -4.303796172968170075e-01; 3.499999999999988898e+00; 8.759487958532589935e-02
1.416699999999999982e+01; 0.000000000000000000e+00; -4.685919900236460434e-01; 3.499999999999988010e+00; 8.790954018247465473e-02
1.500000000000000000e+01; 0.000000000000000000e+00; -5.090983211180205581e-01; 3.499999999999988010e+00; 8.827643927457680395e-02
1.583300000000000018e+01; 0.000000000000000000e+00; -5.521989601828870553e-01; 3.499999999999989342e+00; 8.870628469331212629e-02
1.666700000000000159e+01; 0.000000000000000000e+00; -5.982451716736549852e-01; 3.499999999999990674e+00; 8.921261286894385800e-02
1.750000000000000000e+01; 0.000000000000000000e+00; -6.474698183916580696e-01; 3.499999999999992006e+00; 8.981000064076982703e-02
1.833299999999999841e+01; 0.000000000000000000e+00; -7.003310041363091099e-01; 3.499999999999992450e+00; 9.051800268238330283e-02
1.916700000000000159e+01; 0.000000000000000000e+00; -7.573824334437916361e-01; 3.499999999999992006e+00; 9.136092738794719670e-02
2.000000000000000000e+01; 0.000000000000000000e+00; -8.190693558803471275e-01; 3.499999999999992895e+00; 9.236474219866207258e-02
2.083299999999999841e+01; 0.000000000000000000e+00; -8.861636905665838393e-01; 3.499999999999993783e+00; 9.356310252843656750e-02
2.166700000000000159e+01; 0.000000000000000000e+00; -9.596174472056552274e-01; 3.499999999999994671e+00; 9.499568957307691353e-02
2.250000000000000000e+01; 0.000000000000000000e+00; -1.040302874693639801e+00; 3.499999999999995559e+00; 9.670173784073361756e-02
2.333299999999999841e+01; 0.000000000000000000e+00; -1.129572343003521384e+00; 3.499999999999995559e+00; 9.872665584119608151e-02
2.416700000000000159e+01; 0.000000000000000000e+00; -1.229062545836277831e+00; 3.499999999999995115e+00; 1.011147476927390654e-01
2.500000000000000000e+01; 0.000000000000000000e+00; -1.340291451601568928e+00; 3.499999999999994671e+00; 1.038924954201080331e-01
2.583299999999999841e+01; 0.000000000000000000e+00; -1.465331027725569335e+00; 3.499999999999994671e+00; 1.070722854480315317e-01
2.666700000000000159e+01; 0.000000000000000000e+00; -1.606413639286830453e+00; 3.499999999999994671e+00; 1.106279238446869762e-01
2.750000000000000000e+01; 0.000000000000000000e+00; -1.765143604000357191e+00; 3.499999999999996003e+00; 1.144418388079454507e-01
2.833299999999999841e+01; 0.000000000000000000e+00; -1.943099517000789866e+00; 3.499999999999996891e+00; 1.182040124629121502e-01
2.916700000000000159e+01; 0.000000000000000000e+00; -2.140165470522257696e+00; 3.499999999999997335e+00; 1.209546995558665183e-01
3.000000000000000000e+01; 0.000000000000000000e+00; -2.350682326019340795e+00; 3.499999999999996891e+00; 1.202534038851210269e-01
